Date,Price,Open,High,Low,FederalFundsRate,InflationRate,GDP,Debt,UnemploymentRate
2019-05-15,"2,850.96","2,820.38","2,858.68","2,815.08",2.39,255.29,21329.877,22023283.0,3.3
2019-05-14,"2,834.41","2,820.12","2,852.54","2,820.12",2.39,255.29,21329.877,22023283.0,3.3
2019-05-13,"2,811.87","2,840.19","2,840.19","2,801.43",2.39,255.29,21329.877,22023283.0,3.3
2019-05-10,"2,881.40","2,863.10","2,891.31","2,825.39",2.39,255.29,21329.877,22023283.0,3.3
2019-05-09,"2,870.72","2,859.84","2,875.97","2,836.40",2.39,255.29,21329.877,22023283.0,3.3
2019-05-08,"2,879.42","2,879.61","2,897.96","2,873.28",2.39,255.29,21329.877,22023283.0,3.3
2019-05-07,"2,884.05","2,913.03","2,913.03","2,862.60",2.39,255.29,21329.877,22023283.0,3.3
2019-05-06,"2,932.47","2,908.89","2,937.32","2,898.21",2.39,255.29,21329.877,22023283.0,3.3
2019-05-03,"2,945.64","2,929.21","2,947.85","2,929.21",2.39,255.29,21329.877,22023283.0,3.3
2019-05-02,"2,917.52","2,922.16","2,931.68","2,900.50",2.39,255.29,21329.877,22023283.0,3.3
2019-05-01,"2,923.73","2,952.33","2,954.13","2,923.36",2.39,255.29,21329.877,22023283.0,3.3
2019-04-30,"2,945.83","2,937.14","2,948.22","2,924.11",2.42,255.211,21329.877,22023283.0,3.3
2019-04-29,"2,943.03","2,940.58","2,949.52","2,939.35",2.42,255.211,21329.877,22023283.0,3.3
2019-04-26,"2,939.88","2,925.81","2,939.88","2,917.56",2.42,255.211,21329.877,22023283.0,3.3
2019-04-25,"2,926.17","2,928.99","2,933.10","2,912.84",2.42,255.211,21329.877,22023283.0,3.3
2019-04-24,"2,927.25","2,934.00","2,936.83","2,926.05",2.42,255.211,21329.877,22023283.0,3.3
2019-04-23,"2,933.68","2,909.99","2,936.31","2,908.53",2.42,255.211,21329.877,22023283.0,3.3
2019-04-22,"2,907.97","2,898.78","2,909.51","2,896.35",2.42,255.211,21329.877,22023283.0,3.3
2019-04-18,"2,905.03","2,904.81","2,908.40","2,891.90",2.42,255.211,21329.877,22023283.0,3.3
